LastUpdated,Postal_Code,City,NO2,O3,PM10,PM2.5,Latitude,Longitude,Country.Label,Department,Region,Altitude Moyenne,Superficie,p16_pop,p17_pop,p18_pop,p19_pop,p20_pop,p21_pop,p24_pop
2024-09-17 23:00:00,13100,Aix-en-Provence,6.4,,39.4,2.2,43.5240749998569,5.44816399965644,France,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,236.0,18759.0,143006.0,142482,143097.0,145133.0,147122.0,147478.0,593.0
2024-01-29 17:00:00,13120,Gardanne,26.5,,33.4,12.9,43.453461514164,5.4671019033872,France,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,260.0,2717.0,20407.0,20794,21376.0,21521.0,21501.0,21174.0,21521.0
2024-09-16 08:00:00,13120,Gardanne,26.5,,16.0,7.0,43.4535830001658,5.46667200023494,France,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,260.0,2717.0,20407.0,20794,21376.0,21521.0,21501.0,21174.0,21521.0
2020-02-18 10:00:00,13127,Vitrolles,14.2,57.8,,,43.4572219994639,5.244303,France,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,111.0,3675.0,33880.0,33310,33101.0,33333.0,34418.0,35532.0,33333.0
2020-05-03 11:00:00,13130,Berre-l'Étang,,76.3,,,43.4858630407889,5.17194245048405,France,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,14.0,4396.0,13483.0,13472,13520.0,13660.0,13834.0,13912.0,13660.0
2024-09-17 23:00:00,13130,Berre-l'Étang,,57.2,,,43.4862329997988,5.17193900005504,France,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,14.0,4396.0,13483.0,13472,13520.0,13660.0,13834.0,13912.0,13660.0
2020-01-22 12:00:00,13140,Miramas,,,11.5,,43.5850029994637,5.006389,France,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,56.0,2575.0,25756.0,26470,26668.0,26428.0,26433.0,26405.0,26428.0
2019-07-04 12:00:00,13150,Tarascon,5.0,115.9,,,43.8291454141088,4.64295152912459,France,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,20.0,7432.0,15020.0,14813,15195.0,15811.0,15508.0,15423.0,1509.0
2024-01-29 18:00:00,13200,Arles,31.7,53.2,27.7,21.4,43.6755544389705,4.62861441719004,France,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,4.0,75821.0,52857.0,52548,51031.0,50454.0,50968.0,50415.0,52729.0
2024-09-18 23:00:00,13200,Arles,15.2,61.9,13.8,10.0,43.6751139999298,4.62921000022341,France,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,4.0,75821.0,52857.0,52548,51031.0,50454.0,50968.0,50415.0,52729.0
2023-12-29 09:00:00,13230,Port-Saint-Louis-du-Rhône,,,13.3,,43.4002906312612,4.79639276280504,France,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,1.0,8341.0,8519.0,8449,8423.0,8424.0,8370.0,8446.0,8424.0
2017-12-29 11:00:00,13270,Fos-sur-Mer,16.4,35.75,20.5,10.2,43.4588738424815,4.93416737793045,France,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,5.0,8868.0,15608.0,15494,15602.0,15687.0,15512.0,15469.0,15687.0
2024-09-16 08:00:00,13270,Fos-sur-Mer,16.4,35.75,20.5,5.1,43.4589270002286,4.93457199979567,France,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,5.0,8868.0,15608.0,15494,15602.0,15687.0,15512.0,15469.0,15687.0
2024-01-29 18:00:00,13300,Salon-de-Provence,27.8,63.2,21.7,13.4,43.6389642135529,5.09999637937892,France,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,98.0,7057.0,45574.0,45528,45400.0,45386.0,45009.0,44731.0,45386.0
2024-09-18 23:00:00,13300,Salon-de-Provence,10.3,57.4,7.5,4.8,43.6390039998181,5.1010969997566,France,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,98.0,7057.0,45574.0,45528,45400.0,45386.0,45009.0,44731.0,45386.0
2020-01-15 14:00:00,13340,Rognac,,70.2,18.6,9.1,43.510559975903,5.21972384044637,France,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,74.0,1763.0,12016.0,12223,12080.0,12086.0,12136.0,12175.0,12086.0
2024-09-16 08:00:00,13340,Rognac,,70.2,18.6,9.4,43.510803000236,5.22004599966345,France,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,74.0,1763.0,12016.0,12223,12080.0,12086.0,12136.0,12175.0,12086.0
2024-01-29 18:00:00,13400,Aubagne,24.3,68.1,,,43.2947895081236,5.57173766768144,France,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,194.0,5484.0,45290.0,46209,47208.0,47535.0,47190.0,47342.0,47535.0
2024-03-11 10:00:00,13400,Aubagne,5.5,63.9,,,43.2931370001245,5.57418400028735,France,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,194.0,5484.0,45290.0,46209,47208.0,47535.0,47190.0,47342.0,47535.0
2020-04-21 08:00:00,13460,Saintes-Maries-de-la-Mer,,29.8,,,43.457222,4.426667,France,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,1.0,37242.0,2504.0,2330,2157.0,2144.0,2123.0,2120.0,2144.0
2020-03-06 10:00:00,13500,Martigues,21.1,,14.75,,43.4051999994639,5.0515,France,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,48.0,7448.0,48783.0,48188,48420.0,48574.0,48506.0,48568.0,48574.0
2017-07-18 22:00:00,13700,Marignane,21.5,,19.5,1.7,43.4197376712764,5.21277986330012,France,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,14.0,2355.0,33658.0,32920,32793.0,32384.0,32515.0,33003.0,32384.0
2024-09-17 23:00:00,13700,Marignane,11.2,,3.4,1.7,43.4165300001598,5.2222810000055,France,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,14.0,2355.0,33658.0,32920,32793.0,32384.0,32515.0,33003.0,32384.0
