Nom de la région,Code département,Nom de la commune,population_2016,Code INSEE
Occitanie,81,Assac,145.0,81019.0
Occitanie,82,Belvèze,207.0,82016.0
Provence-Alpes-Côte d'Azur,84,Velleron,3003.0,84142.0
Grand Est,88,Bruyères,3136.0,88078.0
Grand Est,88,La Houssière,609.0,88244.0
Bourgogne-Franche-Comté,89,Saint-Martin-d'Ordon,415.0,89353.0
Île-de-France,91,Arrancourt,152.0,91022.0
Centre-Val de Loire,28,Trancrainville,167.0,28392.0
Occitanie,31,Mervilla,274.0,31340.0
Occitanie,34,Fontès,1026.0,34103.0
Centre-Val de Loire,36,La Chapelle-Orthemale,120.0,36040.0
Grand Est,08,Donchery,2174.0,8142.0
Occitanie,65,Estarvielle,34.0,65171.0
Occitanie,31,Mourvilles-Basses,73.0,31392.0
Nouvelle-Aquitaine,33,Croignon,625.0,33141.0
Nouvelle-Aquitaine,33,Macau,4178.0,33262.0
Grand Est,57,Russange,1290.0,57603.0
Pays de la Loire,44,Prinquiau,3541.0,44137.0
Normandie,50,Le Mesnilbus,339.0,50308.0
Grand Est,51,Laval-sur-Tourbe,60.0,51317.0
Grand Est,51,Plichancourt,244.0,51433.0
Grand Est,52,Domblain,84.0,52169.0
Grand Est,52,Rivière-les-Fosses,204.0,52425.0
Pays de la Loire,53,Port-Brillet,1846.0,53182.0
Auvergne-Rhône-Alpes,01,Parcieux,1220.0,1285.0
Hauts-de-France,02,Chierry,1113.0,2187.0
Provence-Alpes-Côte d'Azur,04,Roumoules,760.0,4172.0
Grand Est,08,Maubert-Fontaine,1109.0,8282.0
Grand Est,10,Villeret,65.0,10424.0
Occitanie,11,Saint-Gaudéric,108.0,11343.0
Nouvelle-Aquitaine,16,Châteauneuf-sur-Charente,3639.0,16090.0
Nouvelle-Aquitaine,23,Saint-Silvain-Bellegarde,210.0,23241.0
Nouvelle-Aquitaine,24,Négrondes,842.0,24308.0
Nouvelle-Aquitaine,24,Saint-Estèphe,632.0,24398.0
Bretagne,56,Erdeven,3691.0,56054.0
Bretagne,56,Saint-Malo-des-Trois-Fontaines,576.0,56227.0
Hauts-de-France,59,Wambrechies,10626.0,59636.0
Occitanie,66,Torreilles,3869.0,66212.0
Grand Est,67,Adamswiller,391.0,67002.0
Grand Est,67,Rhinau,2745.0,67397.0
Grand Est,67,Strasbourg,283515.0,67482.0
Bourgogne-Franche-Comté,71,Santilly,141.0,71498.0
Auvergne-Rhône-Alpes,73,Feissons-sur-Isère,586.0,73112.0
Auvergne-Rhône-Alpes,74,Mégevette,591.0,74174.0
Auvergne-Rhône-Alpes,74,Thonon-les-Bains,36296.0,74281.0
Île-de-France,77,Montceaux-lès-Meaux,611.0,77300.0
Occitanie,81,Salvagnac,1191.0,81276.0
Occitanie,82,Lacour,178.0,82084.0
